"Country","Individualism","STD_Individualism","STD_Psych Distress Girl","STD_Pysch Distress Boys","STD_Suicide Change Girls","STD_Suicide Change Boys","STD_Religiosity","STD_Looseness","STD_Gender Equality","STD_Per Capita GDP 2018","STD_Changes in Per Capita GDP","STD_Indulgence","STD_Change In Social Media Use","Psych Distress Relative Change (Girls)","Psych Distress Relative Change (Boys)","Suicide Rate Change Girls","Suicide Rate Change Boys","Religiosity","Looseness","Looseness Domain General","Belief in God","Praying Daily","Going to services","Importance of Religion","Median Net Income 2022","Gender Equality Index","Change in Social Media Use","GDP Per Capita 2022","HBSC 2006 Girls","HBSC 2018 Girls","Girls Distress Abolute Increa","Indulgence","Uncertainty Avoidance","Masculinity","Power Distance","GDP Change","GINI Index 2018","Change in GINI Index","GDP Per Capita 2018","LOG_GDP per capita 2018","Psych Distress Girls 2002-2010","GDP per capita 2002-2010","Psych Distress Girls 2014-2018","Per Capita GDP 2014-2018","Psych Distress Boys 2002-2010","Psych Distress 2014-18 Boys","AW","AW (2)"
"Greece",35,-1.1523640812218146,-1.2035291108695463,-1.432704557433812,-0.8978046972015301,0.5511218820359007,2.1145487873231033,-0.4225670900673053,-1.261535865655323,-0.745090212577295,-1.9814641120671725,0.33296197214292883,0.7038006132458906,-0.039,-0.149252189,-0.191,0.211,0.49,58.3,80.8,0.59,0.29,0.38,0.55,9520.0,58.0,0.18,37075,0.433716,0.441238,-0.02,50,100,57,60,-0.15,34,-0.01,29141,4.4645044509010345,0.4197803333,33820,0.403396,28635,0.37,0.33,,
"Croatia",33,-1.2593345866516876,-0.511214912353205,-0.730964333521855,-1.6621156989678512,1.4990427694352166,1.732565780580865,-0.5787962672045851,-0.9169236805815295,-0.7879802824409948,-0.36472004260577073,-0.5304817861260219,0.7038006132458906,0.093,-0.031393065,-0.666,0.532,0.44,55.0,61.7,0.57,0.4,0.4,0.42,8760.0,60.7,0.18,40240,0.28295,0.285418,0.02,33,80,40,73,0.12,31,-0.05,28288,4.451602243332979,0.265789,23473,0.290504,26229,0.17,0.17,,
"Bulgaria",30,-1.4197903447964972,-0.3066675355188314,1.1856919025190062,-0.6210436607724623,-1.640022349896474,-0.25374585447877246,-0.3231485227981271,-0.35533345305386754,-1.0942948259458714,1.0125063869354232,-1.3939255443949727,0.7038006132458906,0.132,0.290514412,-0.019,-0.531,0.18,60.4,80.8,0.3,0.15,0.19,0.19,5378.0,65.1,0.18,33846,0.347808,0.379898,0.05,16,85,40,70,0.35,39,0.1,22196,4.346274716142128,0.347808,15369,0.393785,20700,0.2,0.2,,
"Romania",30,-1.4197903447964972,-1.1877946972669022,-0.9291347211629121,-0.7529878758142271,-0.9962629933449137,2.572928395413789,-1.175307670819654,-1.5040407366331774,-0.7654541965102357,1.731059306696046,-1.1907623071552196,3.086316307891513,-0.036,-0.064676305,-0.101,-0.313,0.55,42.4,59.0,0.64,0.44,0.5,0.5,5512.0,56.1,0.48,41260,0.395077,0.373944,-0.01,20,90,42,90,0.47,36,-0.04,28736,4.458426314987211,0.374939,17575,0.3613205,25914,0.25,0.23,,
"Portugal",27,-1.5802461029413069,-0.11785457228710196,-0.36305690687655673,-0.5582897048379644,0.5097795380371768,1.197789571141732,0.9550901992341634,-0.06177492502804225,-0.4987614291514267,-0.9036347324262379,-0.5304817861260219,1.1008865623534947,0.168,0.030397959,0.02,0.197,0.37,87.4,78.6,0.44,0.37,0.36,0.36,11014.0,67.4,0.23,41863,0.196624,0.306163,0.04,33,99,31,63,0.03,35,-0.06,34040,4.5319895514125506,0.2217506667,31382,0.258997,32242,0.13,0.13,,
"Ukraine",25,-1.68721660837118,-1.6126238645382933,-0.4482683385211073,,,0.7394099630510463,-0.488846134913424,,-1.5900698421898112,-0.36472004260577073,,,-0.117,0.016086474,,,0.31,56.9,81.3,0.32,0.29,0.35,0.22,,,,12675,0.368298,0.400183,-0.04,,,,,0.12,25,-0.1,12336,4.091174360706882,0.3736406667,11082,0.3299415,12361,0.19,0.17,,
"North Macedonia",22,-1.8476723665159895,-0.06946076084990294,0.1026505536862446,,,,-0.1385140407267964,,-1.3985478303365488,0.7131093370351637,,,0.177227,0.108614757,,,,64.3,85.9,,,,,,,,20328,,,0.05,,,,,0.3,34,-0.15,16145,4.20803804935318,0.289365,11792,0.340648,15371,0.17,0.18,,
"Slovenia",27,-1.5802461029413069,2.4469754754481765,1.2640430847969428,2.98489519177138,0.9645453220231412,,-0.5740620497155766,0.19349336021180458,-0.29989832679394374,0.59335051707506,0.23138035352305225,-0.48745723407692043,0.657023,0.3036737,2.222,0.351,,55.1,78.5,,,,,16544.0,69.4,0.03,48303,0.166079,0.278968,0.12,48,88,19,71,0.28,25,0.02,37995,4.5797264488462295,0.1751083333,27701,0.290158,35544,0.1,0.14,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
